id,name,google_place_id,address,latitude,longitude,independent,coffee_quality,seating,quiet,outdoor_seating,laptop_friendly,meeting_suitability,google_rating,google_review_count
suda_coffee_pencil,Suda Coffee Pencil,ChIJGUjAwf4bdkgRXpH_hdVbyyE,"243 Eversholt St, London NW1 1BE, UK",51.5335633,-0.1378073,TRUE,,,,,,,5,442
the_hut_by_the_heath,The Hut by The Heath,ChIJfemI6HIbdkgRn7rhWviW1Ww,"Lido entrance to Hampstead Heath, Gordon House Rd, London NW5 1LT, UK",51.555438099999996,-0.1497546,TRUE,,,,TRUE,,,5,333
ayla_coffee,Ayla Coffee,ChIJzw63N5YbdkgRORmEf0XQsDo,"3 Harben Parade, Finchley Rd, London NW3 6JP, UK",51.5444161,-0.175809,TRUE,,,,,,,4.9,69
bloomsbury_coffee_co,Bloomsbury Coffee Co.,ChIJHV-F_h8bdkgRb1hGo6DuiTA,"Bernard St, London WC1N 1LE, UK",51.523160399999995,-0.12452789999999998,TRUE,,,,,,,4.9,383
bossa_coffee_bar,Bossa Coffee Bar,ChIJT8KBYQQbdkgRsaRzCo1CAS0,"Unit 38/39, The Stables Market, 26 Chalk Farm Rd, Chalk Farm, London NW1 8AH, UK",51.542345999999995,-0.1471835,TRUE,,,,,,,4.3,37
coffeehead,COFFEEhead,ChIJa5TAzmUbdkgRXQWuJG4hvHc,"Cabin outside Hampstead Underground station, Hampstead High St, London NW3 1QG, UK",51.5567108,-0.1783396,TRUE,,,,,,,4.9,32
early_bees_coffee_holborn,Early Bees Coffee Holborn,ChIJXzR0jLobdkgR6Brcd0hdmLQ,"Unit 1B, 100-110 High Holborn, London WC1V 6QL, UK",51.5178558,-0.11918410000000002,TRUE,,,,TRUE,,,4.9,1137
espressobase,EspressoBase,ChIJ0ctunjMbdkgRhyQbHNfE7E4,"St Georges Court, Bloomsbury Way, London WC1A 2SE, UK",51.5176605,-0.12453399999999999,TRUE,,,,TRUE,,,4.9,361
food_room,Food Room,ChIJO52yFkoadkgRAqnH42RIdW4,"305 Archway Rd, London N6 5AA, UK",51.5770704,-0.14602199999999999,TRUE,,,,TRUE,,,4.9,446
froth_coffee,Froth Coffee,ChIJQfM3XAAFdkgROwEXQlmxFVw,"29 Bedfordbury, London WC2N 4BJ, UK",51.5109861,-0.125757,TRUE,,,,,,,4.3,52
glass_coffee,Glass Coffee,ChIJl9-F5qobdkgRlAaRD0XWtPQ,"192-198 Camden High Street BoxPark, First Floor Unit 49, London NW1 8QP, UK",51.540091,-0.1433051,TRUE,,,,TRUE,,,4.9,687
camden_coffee_roastery,Camden Coffee Roastery,ChIJN7xCIEwbdkgRYsun5KjhoMg,"12 Castlehaven Rd, London NW1 8QU, UK",51.542308399999996,-0.1448603,TRUE,,,,TRUE,,,4.6,869
doppio_coffee_warehouse,Doppio Coffee Warehouse,ChIJSfc5NRwbdkgR7jLNBx5niY0,"177 Kentish Town Rd, London NW1 8PD, UK",51.5461514,-0.1420149,TRUE,,,,TRUE,,,4.5,309
elsewhere_coffee,Elsewhere Coffee,ChIJYVXNRXADdkgRdp7BJBX9Mrs,"3, Titan Business Estate, London SE8 5QA, UK",51.4792354,-0.026755599999999997,TRUE,,,,,,,4.6,134
running_late_coffee,Running Late Coffee,ChIJSzONaygddkgRVR1m8PaQRQk,"249b Mare St, London E8 3NS, UK",51.542580199999996,-0.055453699999999995,TRUE,,,,TRUE,,,4.9,249
lodestar_coffee,Lodestar Coffee,ChIJhZFBsCcddkgROiXFk8ALT3o,"163 Clarence Rd, Lower Clapton, London E5 8EE, UK",51.555253799999996,-0.05621099999999999,TRUE,,,,FALSE,,,4.9,411
